id;_speciesName;parkName;lat;lng;estado
indep_magnolia_castagnino;;Parque de la Independencia;-32.9536;-60.6568;aprobado
indep_ceibo_laguito_sur;;Parque de la Independencia;-32.95508;-60.65667;aprobado
indep_paraiso_predio_ferial;;Parque de la Independencia;-32.9634;-60.6606;aprobado
indep_fresno_dante;;Parque de la Independencia;-32.96123;-60.65646;aprobado
orono_tipas_boveda_2;;Bulevar Nicasio Oroño;-32.94191;-60.65276;aprobado
orono_tipas_boveda_3;;Bulevar Nicasio Oroño;-32.94386;-60.65322;aprobado
orono_lapacho_tramo_sur;;Bulevar Oroño;-32.94944;-60.65462;aprobado
orono_jacaranda_cochabamba;;Bulevar Oroño;-32.95558;-60.65643;aprobado
orono_pindo_pellegrini;;Bulevar Nicasio Oroño;-32.95401;-60.65582;aprobado
pellegrini_platano_esquina;;Avenida Carlos Pellegrini;-32.95592;-60.645;aprobado
urquiza_tipa_bajada_nito;;Parque Urquiza;-32.95665;-60.62285;aprobado
urquiza_lapacho_altura;;Parque Urquiza;-32.95879;-60.6228;aprobado
urquiza_aguaribay_mirador;;Parque Urquiza;-32.95718;-60.62337;aprobado
urquiza_tilo_planetario;;Parque Urquiza;-32.95969;-60.6236;aprobado
urquiza_casuarina_chacabuco;;Parque Urquiza;-32.95634;-60.6242;aprobado
urquiza_pindo_costa;;Parque Urquiza;-32.9583;-60.6232;aprobado
bosque_algarrobo_vivero_2;;Bosque de los Constituyentes;-32.90675;-60.73463;aprobado
bosque_tala_sendero_2;;Bosque de los Constituyentes;-32.90611;-60.74179;aprobado
bosque_espinillo_este;;Bosque de los Constituyentes;-32.9089;-60.74049;aprobado
bosque_sauce_laguna;;Bosque de los Constituyentes;-32.90322;-60.73681;aprobado
bosque_curupi_sur;;Bosque de los Constituyentes;-32.90322;-60.73688;aprobado
bosque_morera_caballerizas_2;;Bosque de los Constituyentes;-32.90374;-60.73365;aprobado
bosque_eucalipto_cortina_2;;Bosque de los Constituyentes;-32.89858;-60.74016;aprobado
bosque_aguaribay_parental;;Bosque de los Constituyentes;-32.90503;-60.73854;aprobado
bandera_ceibo_bateria;;Parque Nacional a la Bandera;-32.94797;-60.62943;aprobado
bandera_sauce_fluvial;;Parque Nacional a la Bandera;-32.9496;-60.62695;aprobado
bandera_tipa_explanada_este;;Parque Nacional a la Bandera;-32.94793;-60.62861;aprobado
anexo_aguaribay_costa;;Parque Nacional a la Bandera;-32.95472;-60.62284;aprobado
anexo_ceibo_isla;;Parque Nacional a la Bandera;-32.95486;-60.62306;aprobado
espana_jacaranda_escalinata;;Parque de España;-32.9395;-60.63668;aprobado
espana_palo_borracho_jardin;;Parque de España;-32.9385;-60.637;aprobado
espana_magnolia_terraza;;Parque de España;-32.9394;-60.63648;aprobado
colectividades_fresno_norte;;Parque de las Colectividades y Sunchales (MACRO);-32.93219;-60.64616;aprobado
sunchales_tipa_perimetro;;Parque de las Colectividades y Sunchales (MACRO);-32.92844;-60.65345;aprobado
colectividades_jacaranda_pradera;;Parque de las Colectividades y Sunchales (MACRO);-32.93314;-60.64679;aprobado
scalabrini_tipa_central;;Parque Scalabrini Ortiz;-32.92967;-60.66391;aprobado
scalabrini_eucalipto_norte;;Parque Scalabrini Ortiz;-32.92946;-60.66946;aprobado
scalabrini_espinillo_sur;;Parque Scalabrini Ortiz;-32.93022;-60.66739;aprobado
alem_sauce_monumento;;Parque Leandro N. Alem;-32.9109;-60.67809;aprobado
alem_ceibo_boca_luduestra;;Parque Leandro N. Alem;-32.90731;-60.6754;aprobado
alem_tipa_piletas;;Parque Leandro N. Alem;-32.90981;-60.67656;aprobado
plaza_25mayo_lapachos;;Plazas Históricas (San Martín, 25 de Mayo, Pringles, López);-32.94729;-60.63373;aprobado
plaza_25mayo_palo_borracho;;Plazas Históricas (San Martín, 25 de Mayo, Pringles, López);-32.94679;-60.63313;aprobado
plaza_san_martin_fresnos;;Plazas Históricas (San Martín, 25 de Mayo, Pringles, López);-32.94378;-60.64925;aprobado
plaza_pringles_tipa;;Plazas Históricas (San Martín, 25 de Mayo, Pringles, López);-32.94529;-60.64416;aprobado
plaza_lopez_jacaranda;;Plazas Históricas (San Martín, 25 de Mayo, Pringles, López);-32.95867;-60.63601;aprobado
peatonal_cordoba_ficus;;Plazas Históricas (San Martín, 25 de Mayo, Pringles, López);-32.94544;-60.64374;aprobado
echesortu_crespones_2;;Plazas Históricas (San Martín, 25 de Mayo, Pringles, López);-32.94837;-60.67724;aprobado
