id,commonName,scientificName,family,origin,description,ecologicalRole,rosarioPresence,floweringSeason,foliageType,badgeEmoji,tags,isDyePlant,dyeYieldLevel,usedParts,pigmentCompounds,colorCategoria,colores,mordantes,telas,solidez,extraccion,etica,cultural,fotoUrl
granado,Granado,Punica granatum,Lythraceae,Exótica Adaptada,Arbusto grande o arbolito de flores anaranjadas en forma de copa y fruto esférico de cáscara coriácea y semillas translúcidas rubíes.,Refugio de mariposas y colibríes en huertas públicas y jardines botánicos.,"En huertas comunitarias públicas, sector del Jardín Francés (Parque Independencia) y patios históricos del casco fundacional.",Primavera - Frutos en otoño,Caducifolio,🍎,Reina del Amarillo Textil | Cáscara Rica en Taninos | Tinta Negra con Hierro,sí,Muy Alto,Cáscaras del fruto secas deshidratadas,Granatonina | Punicalagina | Ácido elágico (hasta 28% de taninos),amarillo_dorado,Amarillo Canario Puro=#E4B022;Verde Oliva Profundo=#556B2F;Negro Azabache Indeleble=#1A1A1A;Dorado Bronce Suave=#B8973A,Alumbre de potasio | Sulfato de hierro,Algodón orgánico | Lana | Seda | Lino,Alta (resistente a luz),Picar y remojar 50g de cáscara seca durante 12 h. Hervir 40 minutos. Es el mejor mordiente y tinte de base del mundo botánico.,Aprovechar las cáscaras de granadas maduras caídas en huertas urbanas o ferias.,Planta tintórea milenaria usada desde la antigüedad; en Rosario es indispensable para la base de teñido en talleres de fibras vegetales.,
jacaranda,Jacarandá,Jacaranda mimosifolia,Bignoniaceae,Nativa (Argentina / Litoral),Árbol de copa aparasolada y follaje plumoso que se cubre en noviembre de una floración celeste-violácea que decora calles y genera alfombras lilas en el suelo.,Atracción primordial de polinizadores nativos y amortiguador estival de la temperatura en el asfalto rosarino.,"Más de 6.700 árboles en veredas de Rosario; grandes ejemplares en Parque de la Independencia, Av. Pellegrini, Plaza Pringles, Bv. Oroño y Parque Scalabrini Ortiz.",Primavera (Noviembre) y una segunda floración suave en otoño (Marzo),Caducifolio,💜,Nativa | Alfombra Violeta | Tinte Lavanda y Olivas | Noviembre Rosarino,sí,Medio,Flores lilas caídas frescas (en alfombras de aceras) | Hojas secas caídas,Delfinidina | Cianidina | Luteolina | Flavonas,lavanda_azulado,Lavanda Ahumado Suave=#7B6888;Azul Pizarra Agrecisado=#5C6B73;Verde Caqui Tierno=#708238;Gris Grafito Tostado=#636569,Alumbre de potasio | Sal marina gruesa como mordiente suave no metálico,Seda cruda | Lana merino fina | Lino,Media (proteger del sol directo),Juntar flores recién caídas durante la mañana de noviembre. Macerar en agua tibia (50°C máx) sin hervir para preservar las antocianinas violetas. Teñir fibras proteicas (lana o seda) previamente alumbres.,Las flores caen por miles cada día de noviembre en las veredas de Rosario. Recolectar del pavimento o césped libre de tierra.,Inmortalizado por poetas y cantantes argentinos; en los talleres textiles de Rosario es la especie favorita para explorar tonalidades lavandas primaverales.,
lapacho_rosado,Lapacho Rosado,Handroanthus impetiginosus (syn. Tabebuia impetiginosa),Bignoniaceae,Nativa (Argentina / Litoral),"Árbol monumental que florece de manera espectacular antes de que broten sus hojas verdes, tiñendo el dosel urbano de Rosario con un manto rosa fucsia.",Provee copioso néctar invernal para colibríes y abejas solitarias cuando la mayor parte de la vegetación aún duerme.,"Magníficos ejemplares en Plaza San Martín, Bulevar Oroño, Parque Urquiza, Parque Independencia y avenidas Pellegrini y Francia.",Fines de invierno / Principio de primavera (Agosto - Septiembre),Caducifolio,🌸,Nativa Emblemática | Floración Invernal Espectacular | Pigmento Lapachol | Bv. Oroño,sí,Muy Alto,Aserrín o virutas de madera/corteza desprendida de podas autorizadas | Flores rosadas caídas,Lapachol (naftoquinona reactiva al pH) | Flavonoides | Taninos,naranja_terracota,Naranja Ladrillo Lapachol=#C85A32;Mostaza Tostado Dorado=#C99E32;Borravino / Púrpura Imperial=#6D2B43;Pardo Nogal Cálido=#7D4E2D,Alumbre de potasio | Agua de cal o ceniza de leña (para revelar la fase púrpura/vino),Lana | Algodón | Lino | Seda,Alta (resistente a luz),"Con aserrín de poda: 50g de aserrín en 2 litros de agua. Hervir 45 min. Al filtrar, el líquido es dorado anaranjado. Al agregar unas gotas de ceniza o carbonato sódico cambia a un rojo borgoña al instante por el Lapachol.","Se utiliza exclusivamente restos de poda triturada proporcionados por jardineros de plazas o vivero municipal, o pétalos caídos en las veredas.","El ""Lapachol"" es estudiado en la Universidad Nacional de Rosario (UNR) tanto por sus aplicaciones tintóreas textiles como por sus propiedades farmacológicas.",
liquidambar,Liquidámbar,Liquidambar styraciflua,Altingiaceae,Exótica Adaptada,"Árbol piramidal famoso por su follaje estrellado que vira en otoño a una sinfonía de amarillos, naranjas, púrpuras y rojos borravinos.",Aporte de belleza paisajística estacional y alimento para aves granívoras mediante sus cápsulas globosas erizadas.,"Más de 7.600 ejemplares en veredas de Rosario (especialmente en barrios Martin, Pichincha, Echesortu y Parque de las Colectividades).",Primavera,Caducifolio,🍁,Otoño Dorado y Rojo | Hojas Estrelladas | Ámbar y Ocres,sí,Alto,Hojas otoñales caídas de tonos rojos y púrpuras | Cápsulas espinosas secas caídas,Antocianinas otoñales | Taninos condensados | Ácido shikímico,amarillo_dorado,Ámbar Dorado Otoñal=#C68B59;Ocre Rojizo Cobrizo=#A44A3F;Verde Pardo Musgo=#585E3E,Alumbre de potasio,Lana | Seda | Algodón,Alta (resistente a luz),Juntar las hojas caídas en mayo y junio en aceras de Rosario. Hervir suavemente a 70°C durante 45 minutos. Colar e introducir el textil.,Las hojas caen en alfombras en mayo sobre veredas de Pichincha y Parque de las Colectividades. Recolectar del suelo.,Muy apreciado en el diseño textil experimental rosarino por su disponibilidad masiva en el otoño urbano.,
magnolia_grandiflora,Magnolia Grandiflora,Magnolia grandiflora,Magnoliaceae,Exótica Adaptada,"Árbol majestuoso de hojas coriáceas verde brillante en el haz y tomentosas herrumbrosas en el envés, con flores blancas gigantes muy perfumadas.",Especie monumental que proporciona sombra perenne y refugio de pájaros durante todo el año.,"Ejemplares centenarios en Plaza San Martín, Parque Independencia y jardines de casonas históricas de Bv. Oroño.",Primavera tardía y Verano,Perennifolio,🤍,Flores Gigantes Blancas | Plaza San Martín | Hojas Lustrosas | No Tintórea,no,Experimental,,,amarillo_dorado,,,,Media-Alta,Uso estrictamente ornamental y paisajístico. No se emplea para tinción textil.,Prohibido arrancar sus flores gigantes.,Símbolo de la arquitectura señorial de fines de siglo XIX en el centro de Rosario.,
morera,Morera Negra,Morus nigra / Morus alba,Moraceae,Exótica Adaptada,Árbol frondoso de ramas tortuosas y frutos compuestos carnosos comestibles que manchan intensamente de violeta.,"Fruto altamente consumido por aves urbanas como benteveos, zorzales y calandrias.","Plaza López, Plaza Buratovich, Bosque de los Constituyentes y veredas de barrios residenciales tradicionales.",Primavera - Frutos en primavera tardía (Octubre-Noviembre),Caducifolio,🫐,Fruto Violeta | Tinte Morado Intenso | Hojas para Amarillos,sí,Alto,Moras maduras caídas (frutos oscuros) | Hojas verdes de poda estival,Cianidina-3-glucósido (antocianina en frutos) | Quercetina (en hojas),lavanda_azulado,Púrpura Mora Silvestre=#6A2E53;Lavanda Ciruela Agrecisado=#8C6D85;Amarillo Lima Herbal=#8A9A5B,Alumbre de potasio | Vinagre para fijar antocianinas ácidas,Lana pura | Seda,Media (proteger del sol directo),"Con moras: machacar los frutos caídos maduros, añadir vinagre blanco para estabilizar pH ácido. Teñir en frío o a 50°C. Con hojas: hervir a 80°C.",Las moras caen al suelo manchando las veredas en noviembre; recolectar los frutos antes de que se pisen.,Tradicionalmente usado para tintas caseras e ilustración botánica en escuelas y talleres populares.,
palmera_pindo,Palmera Pindó,Syagrus romanzoffiana,Arecaceae,Nativa (Argentina / Litoral),Palmera nativa del litoral argentino de tronco anillado grisáceo y frondas plumosas arqueadas de color verde intenso. Produce racimos colgantes de dátiles anaranjados.,"Alimento fundamental para loros barranqueros, tucanes y murciélagos frugívoros; ícono paisajístico de la Cuenca del Plata.","Canteros centrales de Bulevar Oroño, explanada del Monumento Nacional a la Bandera, Parque de la Independencia y Costanera del Paraná.",Primavera a Verano,Perennifolio,🌴,Nativa Litoral | Postal de Bv. Oroño | Fronda Plumosa | No Tintórea,no,Experimental,,,amarillo_dorado,,,,Media-Alta,"No tiene aplicaciones tintóreas significativas. Su valor es paisajístico, ornamental y de biodiversidad urbana.",Respetar los ejemplares en canteros centrales.,"Elemento distintivo del perfil costero y los bulevares de Rosario, evocando la selva en galería del Delta.",
palo_borracho,Palo Borracho Rosado,Ceiba speciosa (syn. Chorisia speciosa),Malvaceae,Nativa (Argentina / Litoral),"Árbol de tronco ventrudo y verdoso cubierto de aguijones cónicos, flores rosadas espectaculares con centro crema manchado y frutos con fibra algodonosa (paineira).",Acumulador de agua en su tronco bulboso; flores muy visitadas por mariposas esfíngidas nocturnas.,"Plaza Belgrano, Parque Urquiza, Parque Scalabrini Ortiz, Parque Independencia y canteros de Av. Belgrano.",Finales de verano y otoño (Marzo a Mayo),Caducifolio,🌸,Nativa Argentina | Tronco Ventrudo | Flores Rosadas de Otoño | Paineira,sí,Medio,Pétalos caídos tras la floración otoñal | Fibras interiores secas de la cáscara del fruto,Flavonoles | Taninos | Antocianinas,rosa_coral,Rosa Té Apastelado=#CCA09A;Beige Tostado Yuchán=#BFA287;Gris Malva Ahumado=#7E767E,Alumbre de potasio,Lana pura | Seda,Media-Alta,Macerar pétalos caídos en agua tibia durante unas horas. Cocinar a 65°C para no degradar los matices rosados suaves.,No trepar al tronco debido a sus espinas protectoras. Juntar pétalos del césped tras las tardes de otoño.,"Su ""lana vegetal"" (paineira) fue usada por pueblos del Chaco para rellenos, y los tintes de sus pétalos para adornar textiles ceremoniales.",
paraiso,Paraíso,Melia azedarach,Meliaceae,Exótica Adaptada,"Árbol rústico de copa redondeada, flores lilas perfumadas y drupas esféricas amarillentas persistentes en invierno.",Sombra barrial en zonas periféricas.,"Más de 7.100 ejemplares en veredas de distritos Oeste, Sur y Noroeste, y plazas barriales.",Primavera,Caducifolio,🌳,Frutos Tóxicos | Sombra Barrial | No Tintórea Textil | Exótica,no,Experimental,,,amarillo_dorado,,,,Media-Alta,No se debe usar: sus frutos contienen meliatoxinas neurotóxicas que los hacen desaconsejados para manipulación textil.,No ingerir ni manipular frutos.,Muy común en veredas antiguas de barrios obreros rosarinos.,
platano,Plátano de Sombra,Platanus x hispanica (syn. Platanus acerifolia),Platanaceae,Exótica Adaptada,"Árbol urbano corpulento de gran longevidad, con tronco jaspeado en placas verdosas y grisáceas y hojas lobuladas similares a las del arce.",Poderoso filtro biológico de polución en calles céntricas de Rosario; baja hasta 4°C la temperatura ambiente bajo su bóveda foliar.,"Más de 11.500 ejemplares en veredas de Rosario; clásico de calles céntricas (Rioja, Maipú, Laprida, Santa Fe, Córdoba) y Parque de la Independencia.",Primavera,Caducifolio,🍁,Árbol Clásico del Centro | Sombra Monumental | Corteza Descascarada | Tonos Camel,sí,Alto,Placas de corteza leñosa que el tronco expulsa en verano | Hojas tostadas caídas de otoño,Taninos elágicos | Flavonoides | Ligninas oxidadas,marron_tabaco,Beige Camel Cálido=#C29B61;Arena Dorado Otoñal=#D2B48C;Canela Caramelo=#A77942;Gris Pardo Pizarra=#5E5448,Alumbre de potasio (15%) | Hierro para tonos taupe y pardo frío,Algodón | Lino rústico | Lana,Alta (resistente a luz),Recolectar las láminas de corteza que caen solas en veredas durante enero y febrero. Hervir 150g en agua durante 45 minutos. Colar y teñir algodón pre-mordentado con alumbre.,No arrancar las cortezas adheridas al tronco; recolectar únicamente las lajas caídas en veredas o canteros.,Muy empleado en talleres de ecodiseño urbano de Rosario por ser un residuo de biomasa abundante en aceras de la ciudad.,
sauce_lloron,Sauce Llorón,Salix babylonica,Salicaceae,Exótica Adaptada,"Árbol de ramas colgantes y flexibles que tocan el suelo o la superficie del agua, creando cortinas verdes líricas.",Asociado a cuerpos de agua; sus raíces estabilizan márgenes de lagos artificiales.,Bordeando la orilla de la lagunita del Parque de la Independencia (donde navegan los botecitos) y Parque Alem.,Primavera temprana,Caducifolio,🌿,Laguito del Parque Independencia | Ramas Péndulas | Paisajismo Clásico | No Tintórea,no,Experimental,,,amarillo_dorado,,,,Media-Alta,"Aunque contiene salicilatos y taninos suaves, no es considerado una tintórea textil de uso convencional en Rosario.",No quebrar las ramas colgantes sobre el lago.,Postal clásica del Parque Independencia desde su inauguración en 1902.,
tala,Tala,Celtis ehrenbergiana (syn. Celtis tala),Cannabaceae,Nativa (Argentina / Litoral),"Árbol autóctono de ramas en zigzag con espinas rectas apareadas, corteza gris clara y pequeños frutos anaranjados comestibles.",Especie clave de la selva en galería y barrancas del Paraná. Sus raíces afirman terrenos escarpados y sus frutos nutren aves silvestres.,"En las barrancas del Parque de España, barranca de Parque Urquiza y en el sector autóctono del Bosque de los Constituyentes.",Primavera,Caducifolio,🌱,Nativa de Barranca | Protector del Suelo | Tintes Ocre y Verde Caqui,sí,Medio,Ramas podadas secas del suelo | Hojas desprendidas,Flavonas | Taninos | Carotenoides,amarillo_dorado,Ocre Dorado Silvestre=#DDA15E;Verde Caqui Barranca=#606C38;Amarillo Tostado Mate=#C68B45,Alumbre de potasio,Lana | Algodón,Media-Alta,Triturar ramillas caídas secas. Hervir durante 1 hora a fuego constante. Teñir fibras mordentadas.,Especie nativa protegida en barrancas. Solo utilizar restos de poda o caídas por tormentas.,Árbol sagrado en los relatos del litoral santafesino; su madera resistente y su corteza tintórea acompañaron al gaucho ribereño.,
tilo,Tilo,Tilia x viridis (syn. Tilia cordata),Malvaceae,Exótica Adaptada,"Árbol noble de sombra tupida, hojas acorazonadas y flores pequeñas amarillentas con una bráctea membranosa que despiden un aroma dulce inconfundible.",Refugio térmico y acústico en el microcentro rosarino; sus flores son fuente inestimable de miel de tilo para apicultura urbana.,"Plaza Pringles (emblema de las tardes perfumadas del centro), Bulevar Oroño, Plaza San Martín y veredas céntricas.",Noviembre y Diciembre (Aroma dulce característico),Caducifolio,🌳,Perfume de Plaza Pringles | Sombra Densa | Hojas Acorazonadas | No Tintórea Textil,no,Experimental,,,amarillo_dorado,,,,Media-Alta,"Se utiliza en infusión medicinal y fitoterapia (propiedades relajantes), pero no como tinte textil fijable.","Los vecinos recolectan flores caídas para té de tilo, respetando la planta.",Caminar por Plaza Pringles o Bv. Oroño a fines de noviembre bajo los tilos en flor es uno de los recuerdos olfativos más entrañables de Rosario.,
